risk_id,category,risk,likelihood,impact,inherent_rating,existing_controls,treatment,residual_rating,status,owner,review_due
R1,Access,Cross-tenant data exposure (RLS bypass / IDOR across firm_id),Low,High,High,"Postgres RLS on every domain table; asUser executes as role authenticated; npm run test:rls in CI; superadmin allowlist default-deny",Mitigate,Low,Open-monitored,Matthew,2027-07-23
R2,Access,Credential compromise of an advisor or admin account,Medium,High,High,"Clerk auth; TOTP MFA required for advisor/admin; 30-min idle timeout; rate limiting",Mitigate,Low,Open-monitored,Matthew,2027-07-23
R3,Cryptography,Exposure or loss of EB_DOCUMENT_KEY / EB_SIGNING_KEY,Low,High,High,"Keys in host secret store, never in git; prod hard-fails without them; AES-256-GCM at rest",Mitigate,Medium,Open,Matthew,2027-01-23
R4,Vendor,Sub-processor outage (Supabase/Clerk/Render/Vercel/Stripe/Anthropic),Medium,Medium,Medium,"Reputable providers with own SOC 2/ISO; stateless redeployable compute; managed DB w/ PITR",Transfer/Accept,Medium,Open,Matthew,2027-07-23
R5,Availability,Data loss or corruption in the primary database,Low,High,High,"Supabase managed backups + point-in-time recovery; immutable assessment snapshots; code/config in git",Mitigate,Low,Open,Matthew,2027-07-23
R6,Availability,Untested recovery — restore fails or exceeds RTO when needed,Medium,High,High,"Documented restore procedure (policy 05); PITR available",Mitigate,Medium,Open-gap,Matthew,2026-10-23
R7,Insider,Malicious or accidental insider access to client data,Low,High,High,"Least privilege; service-role confined to trusted operations; audit log (data_access_log); offboarding checklist",Mitigate,Medium,Open,Matthew,2027-07-23
R8,AppSec,Exploitable application vulnerability (injection/XSS/auth),Low,High,High,"Parameterized SQL; React auto-escaping; safe content-type serving; PR review + CI; source review found no high/critical findings",Mitigate,Low,Open-monitored,Matthew,2027-01-23
R9,Supply-chain,Vulnerable third-party dependency,Medium,Medium,Medium,"npm audit currently 0 vulns; dependency updates via PR",Mitigate,Medium,Open-gap,Matthew,2026-10-23
R10,AppSec,Malware uploaded via document intake,Low,Medium,Medium,"Optional ClamAV scanning (EB_SCANNER=clamav); documents encrypted + served as attachments with nosniff",Mitigate,Medium,Open-gap,Matthew,2026-10-23
R11,Compliance,No SOC 2 report / no pen test blocks enterprise/RIA sales,High,Medium,High,"Readiness assessment + policy pack (this effort); pen test scoped",Mitigate,Medium,Open,Matthew,2026-10-23
R12,People,Incomplete offboarding leaves lingering access,Medium,High,High,"Offboarding checklist (policy 14): revoke Clerk, rotate shared secrets, remove repo/cloud access",Mitigate,Low,Open-gap,Matthew,2026-10-23
R13,People,No background checks before handling client NPI,Medium,Medium,Medium,"Background-check policy drafted (planned before first enterprise engagement)",Mitigate,Medium,Open-gap,Matthew,2026-10-23
R14,Compliance,Delayed or missed breach notification,Low,High,High,"IR plan (policy 04); committed 30-day/72-hour target; contract clause being finalized",Mitigate,Medium,Open-gap,Matthew,2026-10-23
R15,Confidentiality,Client data leaked via logs or error monitoring,Low,Medium,Medium,"Sentry seam scrubs secrets/PII; policy: no NPI in logs; audit log stores metadata not payloads",Mitigate,Low,Open,Matthew,2027-01-23
R16,Integrity,LLM contaminates a deterministic score,Low,High,High,"Architecture rule 1: no LLM writes to scoring tables; scores verified against reference_scorer.py in CI; AI output labeled draft",Mitigate,Low,Closed-by-design,Matthew,2027-07-23
R17,Confidentiality,"Structured NPI (financials, assessment answers, scores, PII) is not field-level encrypted, so a database-layer compromise (leaked DB credential or provider-side read) exposes it as plaintext",Low,High,High,"Supabase-managed volume encryption at rest; RLS tenant isolation; TLS in transit; secrets in host stores not code; uploaded documents carry an additional app-level AES-256-GCM layer whose key lives outside the data plane",Accept,Medium,Open-accepted,Matthew,2027-07-23
